iter	Passed	Remaining
0	126	126191
1	128	64238
2	130	43380
3	132	32989
4	134	26716
5	140	23222
6	142	20217
7	144	17954
8	146	16161
9	148	14732
10	153	13803
11	155	12809
12	157	11930
13	158	11186
14	160	10529
15	162	9964
16	163	9462
17	165	9013
18	168	8698
19	170	8367
20	172	8045
21	174	7739
22	175	7457
23	177	7202
24	178	6970
25	180	6765
26	183	6616
27	185	6447
28	187	6286
29	189	6138
30	191	5982
31	192	5830
32	194	5701
33	198	5629
34	203	5614
35	205	5510
36	207	5400
37	209	5294
38	212	5237
39	215	5178
40	218	5109
41	220	5019
42	221	4931
43	223	4847
44	225	4775
45	228	4742
46	231	4687
47	232	4618
48	234	4542
49	235	4480
50	237	4417
51	238	4355
52	242	4331
53	245	4299
54	248	4262
55	249	4212
56	251	4163
57	253	4115
58	256	4094
59	259	4067
60	262	4046
61	264	3999
62	265	3955
63	267	3911
64	270	3886
65	273	3875
66	275	3843
67	278	3812
68	279	3777
69	282	3753
70	287	3764
71	291	3755
72	294	3734
73	295	3702
74	297	3672
75	301	3668
76	306	3672
77	308	3645
78	310	3615
79	311	3583
80	316	3593
81	318	3570
82	320	3536
83	322	3519
84	324	3497
85	328	3495
86	331	3481
87	334	3470
88	337	3454
89	339	3430
90	340	3405
91	344	3402
92	347	3390
93	351	3386
94	353	3368
95	356	3360
96	360	3355
97	363	3345
98	366	3332
99	367	3310
100	369	3287
101	371	3266
102	374	3259
103	379	3267
104	381	3249
105	383	3231
106	385	3215
107	389	3215
108	392	3206
109	395	3196
110	397	3182
111	399	3164
112	403	3168
113	408	3171
114	411	3167
115	414	3155
116	415	3135
117	420	3142
118	427	3165
119	429	3150
120	431	3133
121	433	3120
122	436	3114
123	439	3105
124	442	3094
125	444	3080
126	445	3061
127	448	3053
128	452	3054
129	454	3041
130	456	3026
131	457	3010
132	459	2994
133	462	2990
134	465	2983
135	468	2975
136	471	2967
137	472	2954
138	474	2939
139	477	2935
140	481	2931
141	482	2917
142	485	2908
143	486	2893
144	488	2879
145	494	2891
146	496	2882
147	498	2870
148	500	2857
149	501	2844
150	503	2830
151	506	2824
152	509	2818
153	511	2811
154	514	2803
155	516	2793
156	518	2782
157	521	2779
158	525	2779
159	528	2772
160	529	2757
161	530	2744
162	532	2732
163	533	2721
164	537	2718
165	540	2713
166	541	2701
167	543	2690
168	544	2678
169	546	2666
170	547	2654
171	550	2650
172	553	2645
173	555	2635
174	556	2625
175	558	2615
176	560	2604
177	561	2594
178	565	2594
179	568	2588
180	571	2586
181	573	2576
182	574	2565
183	576	2555
184	578	2547
185	581	2543
186	583	2534
187	585	2528
188	587	2520
189	589	2513
190	591	2504
191	593	2496
192	597	2496
193	599	2490
194	601	2483
195	602	2473
196	604	2462
197	605	2453
198	607	2443
199	610	2440
200	612	2435
201	614	2428
202	616	2420
203	618	2411
204	619	2401
205	620	2392
206	622	2383
207	624	2379
208	627	2373
209	628	2365
210	630	2356
211	632	2350
212	633	2341
213	635	2334
214	639	2334
215	641	2328
216	643	2322
217	645	2315
218	646	2306
219	648	2298
220	649	2289
221	650	2280
222	652	2271
223	655	2271
224	658	2269
225	661	2263
226	662	2255
227	663	2247
228	665	2240
229	668	2239
230	671	2235
231	675	2235
232	677	2230
233	678	2222
234	680	2214
235	681	2207
236	684	2205
237	687	2199
238	688	2193
239	690	2186
240	691	2179
241	693	2171
242	694	2163
243	695	2156
244	699	2156
245	701	2151
246	704	2146
247	706	2141
248	707	2134
249	709	2127
250	710	2119
251	713	2117
252	715	2112
253	717	2107
254	719	2101
255	720	2093
256	721	2086
257	723	2080
258	724	2074
259	729	2074
260	731	2071
261	733	2067
262	735	2060
263	736	2053
264	737	2046
265	739	2039
266	741	2035
267	744	2032
268	746	2028
269	748	2022
270	749	2016
271	750	2009
272	752	2003
273	753	1996
274	755	1990
275	757	1987
276	759	1983
277	761	1976
278	762	1970
279	763	1963
280	764	1956
281	765	1950
282	767	1943
283	768	1936
284	769	1930
285	771	1927
286	773	1921
287	774	1915
288	775	1908
289	776	1902
290	778	1895
291	779	1889
292	780	1883
293	781	1877
294	782	1871
295	784	1864
296	786	1861
297	788	1857
298	790	1852
299	791	1847
300	792	1841
301	794	1835
302	795	1830
303	796	1824
304	797	1818
305	800	1814
306	802	1811
307	804	1807
308	805	1801
309	806	1795
310	807	1790
311	809	1784
312	810	1778
313	811	1773
314	813	1768
315	815	1765
316	817	1761
317	818	1756
318	820	1751
319	821	1746
320	823	1741
321	824	1736
322	825	1730
323	827	1725
324	829	1723
325	831	1720
326	833	1716
327	835	1711
328	836	1706
329	838	1701
330	839	1696
331	840	1691
332	842	1686
333	845	1686
334	847	1682
335	848	1677
336	850	1672
337	851	1667
338	852	1662
339	853	1657
340	855	1652
341	856	1647
342	857	1642
343	860	1640
344	861	1636
345	863	1631
346	864	1626
347	865	1621
348	867	1617
349	868	1613
350	870	1608
351	871	1604
352	876	1605
353	877	1602
354	879	1598
355	880	1593
356	882	1588
357	883	1584
358	884	1580
359	886	1575
360	888	1572
361	891	1570
362	893	1567
363	894	1563
364	895	1558
365	897	1554
366	898	1549
367	899	1545
368	900	1540
369	903	1538
370	905	1534
371	906	1530
372	907	1526
373	909	1522
374	910	1517
375	912	1513
376	913	1509
377	914	1505
378	916	1501
379	918	1499
380	920	1496
381	922	1492
382	923	1488
383	925	1484
384	926	1479
385	927	1475
386	929	1471
387	930	1467
388	933	1465
389	935	1463
390	937	1459
391	938	1456
392	940	1452
393	941	1448
394	942	1444
395	944	1440
396	945	1436
397	948	1434
398	950	1431
399	951	1427
400	953	1423
401	955	1420
402	956	1417
403	958	1413
404	959	1410
405	962	1408
406	964	1405
407	966	1402
408	968	1399
409	969	1395
410	971	1391
411	972	1388
412	974	1384
413	975	1380
414	978	1379
415	981	1377
416	982	1374
417	984	1370
418	985	1367
419	987	1363
420	988	1359
421	989	1355
422	992	1354
423	994	1350
424	995	1346
425	996	1342
426	997	1338
427	998	1334
428	999	1331
429	1001	1327
430	1003	1324
431	1004	1320
432	1007	1319
433	1009	1317
434	1011	1314
435	1013	1310
436	1014	1307
437	1016	1303
438	1017	1300
439	1018	1296
440	1022	1295
441	1024	1293
442	1025	1289
443	1026	1285
444	1028	1282
445	1030	1279
446	1031	1276
447	1033	1272
448	1034	1269
449	1037	1268
450	1039	1265
451	1041	1262
452	1042	1259
453	1045	1257
454	1047	1255
455	1052	1255
456	1054	1253
457	1057	1251
458	1059	1249
459	1062	1247
460	1066	1247
461	1069	1244
462	1071	1242
463	1073	1240
464	1075	1237
465	1077	1234
466	1080	1232
467	1084	1232
468	1087	1231
469	1088	1228
470	1090	1224
471	1092	1221
472	1093	1218
473	1097	1217
474	1099	1215
475	1102	1213
476	1103	1209
477	1104	1206
478	1106	1203
479	1107	1200
480	1109	1196
481	1112	1195
482	1114	1192
483	1116	1190
484	1118	1187
485	1120	1184
486	1121	1181
487	1123	1178
488	1129	1180
489	1131	1177
490	1133	1174
491	1134	1171
492	1139	1171
493	1142	1170
494	1146	1169
495	1148	1167
496	1150	1163
497	1151	1160
498	1152	1157
499	1153	1153
500	1155	1150
501	1158	1148
502	1160	1146
503	1161	1143
504	1163	1139
505	1165	1137
506	1168	1135
507	1172	1135
508	1174	1132
509	1176	1130
510	1179	1128
511	1181	1125
512	1183	1123
513	1186	1121
514	1189	1120
515	1192	1118
516	1194	1116
517	1195	1112
518	1197	1109
519	1198	1106
520	1202	1105
521	1205	1103
522	1206	1100
523	1208	1097
524	1210	1095
525	1212	1092
526	1217	1093
527	1220	1090
528	1221	1087
529	1223	1084
530	1224	1081
531	1225	1078
532	1227	1075
533	1228	1072
534	1231	1070
535	1234	1068
536	1236	1065
537	1238	1063
538	1239	1060
539	1241	1057
540	1243	1054
541	1246	1053
542	1248	1050
543	1251	1049
544	1253	1046
545	1254	1043
546	1256	1040
547	1257	1037
548	1259	1034
549	1262	1033
550	1265	1031
551	1267	1028
552	1269	1026
553	1271	1023
554	1273	1021
555	1276	1019
556	1278	1016
557	1280	1014
558	1282	1011
559	1283	1008
560	1285	1005
561	1286	1002
562	1287	999
563	1290	997
564	1292	995
565	1294	992
566	1296	989
567	1297	986
568	1298	983
569	1299	980
570	1301	977
571	1302	974
572	1303	971
573	1306	969
574	1308	967
575	1310	964
576	1311	961
577	1313	958
578	1314	956
579	1316	953
580	1317	950
581	1319	947
582	1322	945
583	1325	943
584	1326	941
585	1328	938
586	1329	935
587	1332	934
588	1336	932
589	1339	930
590	1341	928
591	1343	926
592	1345	923
593	1347	921
594	1351	920
595	1354	918
596	1356	916
597	1358	913
598	1359	910
599	1360	907
600	1362	904
601	1366	903
602	1368	900
603	1370	898
604	1372	895
605	1373	892
606	1374	890
607	1376	887
608	1377	884
609	1380	882
610	1382	880
611	1384	877
612	1385	874
613	1387	872
614	1388	869
615	1389	866
616	1391	863
617	1392	860
618	1396	859
619	1397	856
620	1399	854
621	1400	851
622	1402	848
623	1403	845
624	1405	843
625	1406	840
626	1411	839
627	1414	837
628	1416	835
629	1417	832
630	1419	830
631	1421	827
632	1422	824
633	1425	823
634	1428	820
635	1430	818
636	1431	815
637	1433	813
638	1435	810
639	1436	808
640	1439	806
641	1441	803
642	1443	801
643	1444	798
644	1446	796
645	1447	793
646	1448	790
647	1449	787
648	1451	784
649	1455	783
650	1457	781
651	1458	778
652	1460	775
653	1461	773
654	1462	770
655	1463	767
656	1464	764
657	1466	762
658	1469	760
659	1471	757
660	1472	755
661	1474	752
662	1475	749
663	1476	747
664	1477	744
665	1479	741
666	1480	739
667	1482	736
668	1484	734
669	1486	731
670	1487	729
671	1488	726
672	1489	723
673	1490	721
674	1492	718
675	1493	715
676	1494	713
677	1495	710
678	1498	708
679	1500	706
680	1502	703
681	1503	701
682	1504	698
683	1506	695
684	1507	693
685	1508	690
686	1510	687
687	1512	685
688	1515	683
689	1517	681
690	1518	679
691	1520	676
692	1521	674
693	1522	671
694	1524	668
695	1526	666
696	1529	664
697	1531	662
698	1532	660
699	1534	657
700	1535	654
701	1536	652
702	1537	649
703	1539	647
704	1542	645
705	1544	643
706	1546	640
707	1548	638
708	1550	636
709	1551	633
710	1552	631
711	1553	628
712	1557	626
713	1559	624
714	1560	622
715	1562	619
716	1563	617
717	1564	614
718	1565	611
719	1566	609
720	1567	606
721	1568	604
722	1572	602
723	1573	599
724	1574	597
725	1576	594
726	1577	592
727	1578	589
728	1579	587
729	1581	584
730	1582	582
731	1583	579
732	1586	577
733	1588	575
734	1590	573
735	1591	570
736	1593	568
737	1594	566
738	1595	563
739	1597	561
740	1598	558
741	1602	557
742	1604	555
743	1607	553
744	1608	550
745	1609	548
746	1611	545
747	1612	543
748	1616	541
749	1618	539
750	1620	537
751	1621	534
752	1622	532
753	1623	529
754	1625	527
755	1627	525
756	1629	523
757	1632	521
758	1634	518
759	1635	516
760	1636	513
761	1637	511
762	1639	509
763	1640	506
764	1641	504
765	1643	501
766	1646	500
767	1648	497
768	1649	495
769	1650	493
770	1652	490
771	1653	488
772	1654	485
773	1656	483
774	1658	481
775	1660	479
776	1662	477
777	1663	474
778	1664	472
779	1666	469
780	1667	467
781	1668	465
782	1670	462
783	1671	460
784	1674	458
785	1676	456
786	1678	454
787	1680	452
788	1681	449
789	1683	447
790	1684	445
791	1685	442
792	1688	440
793	1690	438
794	1692	436
795	1694	434
796	1696	432
797	1697	429
798	1698	427
799	1700	425
800	1706	424
801	1709	422
802	1711	419
803	1713	417
804	1714	415
805	1716	413
806	1720	411
807	1722	409
808	1724	407
809	1726	404
810	1727	402
811	1728	400
812	1730	397
813	1731	395
814	1734	393
815	1736	391
816	1738	389
817	1739	387
